periodo, Rural,Urbano
Ene,492.659836,711.4747116
Feb,488.9945164,708.6513454
Mar,496.6819293,717.4906639
Abr,517.0251959,737.7001396
May,528.9284602,749.9635625
Jun,514.1883439,736.7961057
Jul,518.9956288,741.4546143
Ago,516.1694447,739.6294077
Sep,515.3570042,740.0307251
Oct,509.4526215,735.2191806
Nov,502.0287033,728.9388576
Dic,518.6198885,745.2724328
Ene,531.4791306,758.612716
Feb,530.0050033,757.384698
Mar,518.1105859,746.7369569
Abr,517.298381,746.6736605
May,521.8420546,751.7679345
Jun,515.173873,747.1957253
Jul,515.422668,748.0142357
Ago,525.9475886,757.083273
Sep,558.6866762,787.6125725
Oct,569.8466159,798.9586185
Nov,556.3897181,788.9643457
Dic,570.8349587,805.3680412
Ene,578.4301732,814.849046
Feb,575.0197264,813.6996919
Mar,575.9814238,815.5660532
Abr,580.315938,820.7315818
May,560.1088987,799.9341718
Jun,550.6651745,791.0812911
Jul,559.1327145,800.8296882
Ago,563.9221867,807.1797377
Sep,580.0308288,824.3466528
Oct,577.1064418,823.3785944
Nov,580.108052,827.5055808
Dic,591.0701783,840.6691303
Ene,590.4841212,842.072265
Feb,578.441435,832.5018353
Mar,588.8102055,842.961938
Abr,600.0001423,855.6269033
May,601.469033,858.5757767
Jun,602.3711817,860.5076374
Jul,610.5219216,869.6793437
Ago,613.8983164,874.7151993
Sep,619.5838842,882.1629221
Oct,626.7969462,890.5430295
Nov,641.0212224,908.2483722
Dic,653.780144,921.4725387
Ene,648.2104293,918.9067532
Feb,642.7109079,915.4119182
Mar,656.2027265,931.681874
Abr,672.8968582,948.4075801
May,672.7557522,949.6370644
Jun,673.2692288,951.4779026
Jul,677.1648668,957.0783073
Ago,682.8242155,964.6800098
Sep,699.2923793,981.0525892
Oct,691.780124,974.7739055
Nov,683.9788338,967.2977221
Dic,682.4976856,964.6393414
Ene,692.6609537,977.9353158
Feb,697.3661421,985.5818002
Mar,725.4864001,1014.529809
Abr,717.1820631,1007.411922
May,692.9235211,984.7540539
Jun,677.4665644,969.9607339
Jul,680.1999452,973.661271
Ago,683.7098525,978.301705
Sep,691.0572342,986.4891934
Oct,699.6527641,996.0393369
Nov,704.7169498,1002.593985
Dic,712.767028,1012.121881
Ene,717.0700414,1020.049358
Feb,720.9182362,1024.995773
Mar,714.22056,1019.443208
Abr,736.8340622,1039.557264
May,715.6583861,1020.817904
Jun,700.9971377,1006.506236
Jul,712.3853704,1018.097848
Ago,715.0708539,1021.217623
Sep,723.3224972,1030.203804
Oct,728.8332149,1034.993403
Nov,736.7514687,1045.444175
Dic,755.7079557,1067.223143
Ene,768.4024977,1079.967678
Feb,762.6559277,1077.313281
Mar,765.1112746,1081.161318
Abr,763.6123765,1082.036468
May,766.3773679,1083.628472
Jun,782.7981922,1101.388937
Jul,798.50457,1120.087083
Ago,800.2056318,1125.387801
Sep,818.4438448,1144.785316
Oct,820.3257743,1147.945972
Nov,816.8553338,1148.679648
Dic,823.9671665,1158.622616
Ene,824.5820522,1161.392382
Feb,823.0385063,1160.171125
Mar,838.2123853,1177.084073
Abr,839.8834723,1179.94739
May,839.3828901,1179.336545
Jun,832.2821467,1172.901552
Jul,825.4215924,1167.99069
Ago,834.5117467,1179.217721
Sep,840.1660669,1186.754987
Oct,838.4854834,1186.511446
Nov,854.7197402,1202.817887
Dic,867.9614765,1216.642579
Ene,868.1986496,1227.359782
Feb,869.4933492,1234.293459
Mar,874.7404558,1242.749292
Abr,857.0292072,1224.957965
May,851.7244116,1220.207132
Jun,853.4716349,1225.086801
Jul,859.9658173,1231.867686
Ago,868.1691457,1242.570776
Sep,881.3239321,1257.039638
Oct,887.1745578,1264.871909
Nov,895.8107369,1272.904709
Dic,914.8131559,1291.890525
Ene,897.2191054,1265.804364
Feb,887.5385819,1256.649383
Mar,903.7482258,1271.146809
Abr,907.2486955,1273.129724
May,897.9845169,1264.494279
Jun,898.7789071,1267.696216
Jul,906.1706428,1275.885898
Ago,910.4076202,1281.344062
Sep,917.550077,1290.303837
Oct,920.2770889,1295.048928
Nov,920.6554705,1297.638296
Dic,938.0164009,1315.08173
Ene,956.1475685,1333.697423
Feb,963.1692247,1343.282773
Mar,959.7867955,1338.930538
Abr,955.4398592,1335.176332
May,947.9998073,1330.284117
Jun,937.9394707,1322.615691
Jul,935.6281089,1321.237673
Ago,933.230704,1310.986059
Sep,959.58446,1339.408111
Oct,963.0955946,1346.435225
Nov,969.4292937,1355.672651
Dic,979.3135204,1369.613572
Ene,975.5265966,1371.590882
Feb,970.3843741,1373.022464
Mar,981.5430874,1386.041349
Abr,994.7583155,1400.224429
May,1002.860237,1408.215605
Jun,1014.022899,1422.186429
Jul,1035.490437,1446.469742
Ago,1060.179155,1477.290824
Sep,1064.121165,1485.18518
Oct,1045.634426,1469.711129
Nov,1052.296241,1475.850578
Dic,1066.575643,1491.589828
Ene,1061.309741,1490.77544
Feb,1041.838946,1472.860903
Mar,1054.539779,1482.750375
Abr,1052.932178,1482.456724
May,1042.388747,1472.616316
Jun,1043.414836,1476.86208
Jul,1053.28154,1492.256021
Ago,1073.69038,1516.620985
Sep,1077.648925,1522.459328
Oct,1072.359996,1513.592689
Nov,1090.170834,1530.558748
Dec,1113.232351,1556.237058
