periodo,Aguascalientes,Baja.California,Baja.California.Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad.de.México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado.de.México,Michoacán,Morelos,Nayarit,Nuevo.León,Oaxaca,Puebla,Querétaro,Quintana.Roo,San.Luis.Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional
105,1832,3022.84,3008.21,1938.88,2307.47,2366.08,918.88,2279.51,2784.85,1551.5,1639.61,1129.12,1469.53,2067.15,1773.55,1573.31,1614.19,1860.37,2939.79,1106.12,1379.19,1931.42,2865.73,1683.4,2228.21,2483.51,1689.76,2586.43,1361.07,1687.13,1760.17,1289.17,1903.87
205,1939.91,3122.14,3125.99,1996.68,2453.14,2481.97,936.26,2413.86,2814.75,1545.45,1622.48,1184.1,1511.12,2130.68,1898.5,1526.32,1628.46,1828.54,3051.86,1132.06,1357.83,2032.58,2850.53,1671.12,2261.49,2430.47,1711.87,2327.68,1428.78,1395.09,1785.42,1364.79,1920.47
305,2029.25,3216.02,3173.79,2030.34,2372.03,2577.79,977.42,2516.61,2840.82,1628.5,1602.61,1187.24,1462.37,2169.32,1967.21,1539.67,1693.65,1803.19,3143.83,1129.38,1433.59,2100.13,3112.24,1686.57,2324.9,2461.15,1808.36,2409.41,1438.58,1410.28,1799.98,1400.1,1965.23
405,2093.27,3449.98,3471.01,2200.77,2463.95,2550.6,993.46,2889.82,3227.09,1751.34,1781.05,1218.92,1546,2284.6,2026.4,1682.49,1903.5,2030.98,3254.66,1227.33,1534.13,2243.29,3290.64,1855.7,2626.33,2664.08,1945.3,2947.5,1526.21,1597.37,1863.16,1502.41,2125.31
106,1952.93,3350.93,3180.1,2138,2427.53,2588.53,990.34,2661.04,3047.96,1689.77,1667.28,1289.03,1452.85,2336.78,2060.72,1501.2,1666.38,1918.49,3165.69,1135.1,1453.55,2141.04,3163.86,1820.33,2512.82,2685.89,1947.1,2597.43,1519.12,1547.91,1832.34,1402.36,2052.22
206,2025.72,3395.84,3514.05,2189.79,2391.95,2641.17,969.44,2859.53,3004.55,1668.8,1702.15,1266.55,1515.28,2321.55,1979.57,1610.01,1689.65,1977.43,3143.49,1182.57,1412.49,2063.76,3168.34,1765.29,2484.17,2668.63,1897.34,2702.96,1438.48,1577.04,1791.43,1497.59,2054.03
306,1968.7,3204.12,3257.23,2035.79,2486.43,2612.68,932.28,2653.92,3041.04,1648.11,1638.2,1209.13,1529.73,2172.15,1971.87,1557.24,1727.68,1972.42,3194.12,1085.17,1412.66,2077.51,3417.09,1740.22,2322.23,2453.22,1970.9,2590.41,1404.13,1539.54,1868.66,1437.51,2012.45
406,2077.72,3294.24,3982.72,2078.61,2505.92,2698.76,1017.71,2706.09,3160.9,1771.35,1808.22,1274.63,1595.23,2308.81,2019.11,1753.44,1841.69,2078.75,3287.86,1146.55,1515.23,2267.07,3399.3,1778.17,2502.69,2748.53,2120.5,2999.91,1446.12,1625.33,1899.57,1610.28,2127.05
107,1966.94,3098.94,3478.63,1989.78,2509.57,2480.93,1022.34,2583.95,3160.17,1631.42,1733.29,1216.21,1526.33,2208.18,1887.68,1618.99,1640.52,2059.72,3172.38,1082.05,1434.1,2085.46,3263.6,1621.48,2459.16,2497.31,1936.98,2493.91,1450.28,1523.5,1881.24,1490.69,2017.17
207,2008.72,3210.26,3477.74,2036.4,2460.06,2539.65,1048.66,2615.44,3037.06,1705.4,1803.34,1181.3,1541.12,2309.66,1970.78,1624.64,1812.46,2020.23,3113.39,1159.49,1482.25,2065.65,3209.2,1655.34,2477.9,2510.91,1945.2,2532.99,1429.09,1585.44,1939.48,1490.11,2045.26
