periodo,Aguascalientes,Baja.California,Baja.California.Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad.de.México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado.de.México,Michoacán,Morelos,Nayarit,Nuevo.León,Oaxaca,Puebla,Querétaro,Quintana.Roo,San.Luis.Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional
105,1374.9,2269.37,2257.86,1455.42,1732.44,1776.29,689.34,1711.22,2091.33,1164.16,1230.25,847.18,1101.92,1551.79,1331.36,1180.63,1211.43,1395.8,2207.45,829.57,1035.18,1449.48,2151.68,1263.34,1672.19,1864.32,1267.54,1941.94,1021.32,1266.04,1321.34,967.42,1429.05
205,1452.73,2339.73,2340.98,1495.96,1838.6,1859.92,700.52,1808.87,2110.56,1156.84,1214.79,886.59,1129.8,1596.38,1422.49,1142.77,1219.79,1368.77,2287.85,846.83,1016.93,1522,2136.59,1251.45,1693.56,1820.95,1280.58,1744.43,1069.71,1044.11,1337.98,1021.61,1438.64
305,1510.5,2395.95,2363.13,1512.35,1767.65,1920.69,725.83,1874.2,2118.86,1211.25,1191.78,883.31,1084.6,1616.02,1465.51,1145.45,1260.63,1340.31,2344.01,838.49,1066.66,1562.18,2319.58,1255.1,1730.52,1833.1,1343.3,1795.58,1070.02,1047.94,1341.14,1040.87,1463.24
405,1506.66,2486.95,2499.96,1585.55,1776.16,1838.33,713.83,2083.3,2328.73,1259.8,1280.92,877.05,1109.18,1646.35,1460,1210.63,1370.5,1459.94,2347.69,881.19,1104.39,1614.16,2372.78,1335.77,1890.31,1919.06,1397.22,2125.2,1097.68,1148.18,1342.88,1079.88,1530.72
106,1477.17,2537.72,2405.72,1618.14,1838.7,1960.16,747.63,2015.27,2310.63,1277.18,1259.89,974.38,1095.32,1769.24,1560.11,1134.89,1260.35,1449.04,2398.98,856.77,1099.26,1618.92,2396.52,1375.57,1899.99,2032.81,1469.5,1967.51,1147.97,1169.36,1387.52,1059.57,1552.94
206,1566.05,2626.93,2716.92,1693.48,1850.46,2043.01,748.62,2211.63,2325.47,1289.4,1315.15,978.77,1169.47,1795.56,1531.06,1244.17,1306.12,1527.42,2432.49,912.95,1091.89,1594.79,2451.17,1363.97,1919.99,2063.72,1465.05,2091.02,1111.52,1218.21,1385.63,1156.85,1588.19
306,1591.9,2589.73,2633.59,1645.71,2009.58,2111.73,754.35,2145.28,2457.09,1332.85,1324.9,977.95,1238.11,1755.83,1593.87,1259.44,1396.86,1595.7,2581.13,878.12,1142.41,1680.13,2761.72,1407.43,1877.98,1983.14,1594.58,2093.53,1135.55,1245.55,1510.48,1162.83,1627.01
406,1585.14,2515.05,3039.04,1586.37,1913.38,2060.28,775.69,2065.47,2414.51,1350.89,1379.13,972.01,1215.33,1762.29,1541.2,1337.55,1405.17,1584.93,2510.92,873.63,1155.91,1729.22,2595.34,1356.47,1908.86,2097.84,1616.06,2290.66,1102.79,1239.14,1450.06,1227.59,1623.2
107,1600.49,2522.51,2830.82,1619.36,2042.81,2019.33,831.38,2103.06,2572.96,1327.25,1410.05,989.2,1240.9,1797.17,1536.36,1317.13,1334.83,1675.21,2582.6,879.8,1166.78,1696.65,2656.42,1319.23,2000.72,2032.39,1575.2,2030.04,1179.84,1239,1531.13,1212.45,1641.5
207,1648.01,2635.19,2853.59,1671.27,2019.52,2084.55,859.74,2146.72,2493.87,1398.91,1479.32,968.88,1263.08,1895.62,1617.54,1332.68,1487.23,1656.7,2556.15,950.52,1216.05,1694.32,2634.27,1357.93,2032.84,2060.69,1594.67,2079.24,1172.25,1300.12,1591.91,1221.93,1678.33
307,1601.66,2528.55,3113.17,1684.78,2044.91,2120.75,833.82,2391.2,2512.22,1384.31,1403.92,965.96,1209.9,1888.2,1558.61,1310.56,1428.74,1634.28,2616.36,915.12,1202.62,1706.8,2630.36,1421.59,2038.75,2110.87,1585.29,2125,1170.49,1266.36,1463.19,1257.76,1670.44
407,1691.69,2660.62,3405.56,1770.76,2063.26,2188.68,877.46,2178.5,2536.09,1534.37,1408.15,990.47,1299.5,1943.91,1542.26,1374.64,1473.45,1716.46,2684.91,909.97,1197.19,1672,2699.13,1389.93,2054.76,2081.17,1651.32,2168.49,1212.02,1314.7,1576.1,1234.57,1694.27
108,1769.83,2672.27,3369.98,1856.84,2026.62,2283.78,872.71,2294.89,2539.45,1445.62,1397.99,1087.11,1197.43,1991.14,1579.41,1350.93,1446.71,1847.94,2615.9,994.24,1209.09,1662.46,2882.57,1406.4,2050.27,2214.27,1727.47,2152.69,1202.24,1346.84,1581.16,1143.23,1714.73
208,1673.18,2668.13,3417.8,1868.68,1986.84,2291.89,894.39,2229.15,2440.35,1505.66,1371.68,1086.57,1275.17,2044.21,1653.04,1503.87,1392.79,1776.74,2598.67,1018.12,1204.71,1727.93,2888.39,1455.39,2059.66,2251.54,1722.92,2208.16,1236.34,1329.56,1588.87,1225.27,1729.62
308,1699.05,2614.08,3143.89,1823.86,2008.33,2362.49,896.09,2162.75,2467.3,1478.19,1361.25,1059.04,1304.84,1914.57,1627.79,1419.35,1395.24,1792.97,2639.33,937.46,1232.77,1653.68,2852.51,1444.47,2109.53,2181,1753.57,2197.65,1259.18,1360.73,1592.06,1177.32,1713.89
408,1674.46,2391.86,3118.11,1766.68,1936.82,2287.33,893.46,1965.16,2488.37,1427.61,1320.14,972.76,1225.99,1890.77,1557.14,1485.77,1365.3,1797.48,2518.08,928.01,1267.9,1680.13,2556.78,1434.59,2092.01,2024.99,1678.98,2126.69,1158.78,1359.69,1568.97,1175.68,1666.27
109,1576.46,2459.98,3086.33,1841.94,1878.68,2306,940.75,2057.87,2447.62,1427.95,1368.78,1054.67,1288.19,1849.6,1682.56,1515.48,1359.11,1882.04,2438.35,982.29,1227.82,1659.01,2747.59,1429.59,2078.45,2125.12,1707.49,2207.88,1149.45,1401.67,1629.26,1140.76,1696.21
209,1606.15,2467.32,2952.87,1782.47,1929.86,2195.15,921.84,2058.32,2554.81,1416.48,1313.62,1029.46,1293.79,1865.9,1729.97,1490.13,1452.01,1882.85,2458,958.61,1188.66,1571.11,2614.69,1445.09,2097.38,2130.2,1682.68,2092.77,1191.61,1466.56,1602.63,1132.61,1704.86
309,1591.48,2255.81,2900.59,1807.88,1848.01,2298.53,995.05,1998.29,2456.27,1404.25,1381.43,1010.96,1305.8,1813.24,1706.27,1494.54,1461.5,1822.06,2334.67,963.74,1220.12,1548.28,2456.03,1382.36,2036.37,2045.18,1623.74,2049.3,1129.56,1416.69,1678.13,1161.47,1671
409,1610.36,2292.39,2670.88,1879.23,1876.33,2195.62,936.9,1866.76,2302.7,1334.38,1381.33,1034.69,1314.95,1866.65,1666.5,1520.05,1408.46,1830.1,2458.33,960.79,1221.24,1627,2404.11,1338.27,2077.31,1978.31,1742.68,1991.5,1148.37,1425.41,1669.05,1198.87,1656.56
110,1677.39,2428.77,2808.88,1864.33,1888.93,2308.71,969.7,1930.71,2414.13,1383.83,1361.47,1087.56,1265.88,1829.41,1688.69,1526.29,1427.74,1821.33,2541.46,1003.25,1235.62,1653.2,2583.28,1384.37,2149.83,2250.69,1733.93,2022.48,1160.41,1503.52,1679.42,1178.93,1703.43
210,1651.03,2339.4,2933.77,1836.58,1888.33,2409.96,953.9,1999.65,2496.06,1426.77,1362.64,1071.85,1369.93,1916.02,1781.73,1504.61,1470.87,1866.52,2537.53,1019.23,1296.46,1691.12,2652.58,1427.89,2136.44,2080.95,1733.08,1933.62,1191,1472.86,1680.49,1246.83,1725.12
310,1673.58,2358.25,2793.95,1864.4,1916.27,2401.27,972.52,1928.39,2476.57,1429.12,1399.59,1002.69,1397.95,1853.92,1797.29,1580.35,1466.55,1818.94,2505.58,976.54,1339.22,1691.67,2498.66,1436.72,2102.42,1875.5,1647.43,1851.82,1249.77,1428.73,1744.24,1351.23,1712.42
410,1622.62,2380.57,2768.19,1818.14,1827.51,2267.59,940.06,1709.41,2312.5,1416.2,1453.38,989.48,1366.55,1885.6,1759.44,1566.41,1489.55,1821.02,2479.02,1043.32,1268.69,1624.64,2499.95,1340.69,2088.59,2023.22,1641.51,1824.77,1198.37,1447.06,1777.66,1313.23,1682.87
111,1669.22,2465.35,2839.16,1920.27,1980.68,2298.57,1038.31,1733.23,2389.68,1407.87,1420,1127.93,1360.98,1980.33,1870.28,1650.91,1443.58,1871.01,2441.2,1035.89,1332.46,1744.99,2600.3,1332.55,2152.17,1971.65,1715.02,1989.38,1219.13,1520.33,1782.43,1289.8,1745.37
211,1644.36,2435.8,2913.59,1986.18,2058.42,2368.48,1059.15,1768.16,2544.78,1483.7,1471.71,1074.73,1397.21,1926.31,1905.36,1668.62,1539.13,1787.86,2456.59,1043.99,1314.99,1824.42,2600.91,1393.98,2142.46,2086.33,1622.77,1783.8,1317.06,1435.39,1777.68,1253.47,1758
311,1648.74,2381.95,2858.04,1993.65,2146.37,2273.08,1020.95,1731.99,2592.35,1578.1,1485.18,1038.15,1405.49,1916.86,1981.78,1644.61,1576.4,1768.95,2419.05,1050.03,1276.22,1697.91,2524.71,1370.64,2011.43,2092.53,1644.68,1823.88,1276.17,1468.52,1780.05,1300,1758.17
411,1600.1,2411.02,3301.62,2063.7,2092.63,2334.47,1026.98,1939.54,2543.72,1565.42,1461.73,1027.96,1479.16,1938.73,1851.21,1698.59,1480.74,1839.9,2496.71,1090.29,1350.18,1739.29,2615.16,1369.55,2112.13,2142.53,1717.32,1764.63,1327.78,1422.36,1769.07,1277.69,1760.8
112,1708.04,2464.36,3075.62,2108.21,2068.49,2478.86,1058.39,1923.03,2585.67,1580.03,1507.38,1066.79,1411.08,2029.07,1926.66,1683.49,1597.45,1871.49,2448.09,1123.33,1453.29,1841.45,2772.78,1380.79,2158.01,2194.09,1789.14,1869.02,1296.44,1581.59,1809.94,1342.36,1814.62
212,1764.3,2527.3,3149.62,2197.58,2144.67,2527.23,1054.04,2068.93,2674.56,1505.37,1534.19,1095.48,1588.15,2123.51,1933.2,1770.3,1623.54,1876.85,2494.94,1166.19,1407.89,1847.56,2672.37,1382.93,2227.36,2163.18,1782.49,1952.72,1311.38,1616.44,1871.49,1357.28,1851.3
312,1758.37,2441.97,3245.44,2097.87,2266.85,2614.22,1065.89,2153.86,2803.81,1503.72,1599.12,1011.14,1553.48,2103.98,1889.24,1705.63,1535.38,1887.65,2611.38,1170.48,1460.45,1745.4,2631.58,1407.47,2062.05,2227.08,1872.01,1911.58,1433,1535.87,1940.01,1357.51,1854.04
412,1849.7,2530.97,3331.08,2186.56,2192.03,2536.3,1038.65,2159.46,2684.26,1609.05,1603.16,999.25,1542.85,2114.73,1841.4,1655,1553.55,1915.13,2531.76,1133.31,1473.17,1683.72,2576.89,1514.86,2280.78,2155.96,1890.65,1916.19,1400.85,1658.06,1830.59,1356.45,1847.36
113,1815.22,2529.22,3026.13,2140.21,2271.59,2631.32,1099.22,2067.26,2706.54,1590.07,1574.38,1135.52,1481.02,2183.17,1957.82,1775.22,1478.58,2089.06,2484.64,1140,1520.65,1844.47,2715.75,1424.45,2377.33,2712.23,1859.14,1987.65,1408.13,1577.01,1846.28,1392.2,1895.05
213,1861.09,2649.62,3130.2,2281.02,2358.92,2737.38,1046.94,2266.83,2553.21,1719.43,1594.37,1121.07,1647.12,2209.07,1870.44,1714.03,1518.98,2007.42,2672.24,1102.74,1426.55,1783.38,2698.93,1497.6,2292.73,2453.47,1832.72,2062.22,1390.32,1580.4,2050.72,1302.96,1883.29
313,1710.24,2552.92,3215.49,2296.52,2405.89,2570.69,1082.23,2236.02,2695.39,1597.42,1689.44,1113.2,1561.76,2190.99,1751.72,1621.11,1494.43,1949.23,2528.35,1117.14,1435.69,1840.89,2835.94,1519.76,2314.34,2474.41,1868.73,1954.29,1434.49,1601.44,1931.97,1351.38,1865.64
413,1906.04,2589.36,3140.57,2289.62,2415.57,2664.82,1045.25,2319.5,2669.76,1593.95,1700.34,1087.05,1619.46,2179.82,1979.92,1655.85,1529.13,2045.96,2494.9,1032.7,1454.54,1851.12,2530.47,1557.5,2266.89,2505.61,1954.98,2003.5,1408.63,1664.35,2034.69,1361.96,1902.08
114,1824.77,2514.18,3266.5,2333.6,2327.43,2580.84,1095.74,2267.96,2545.23,1623.02,1675.47,1155.26,1648.64,2190.36,1911.92,1734.71,1445.8,2086.65,2444.21,1142.12,1500.53,1913.99,2529.23,1521.38,2355.9,2652.91,1929.95,2064.15,1427.72,1583.46,1942.94,1311.48,1895.54
214,1892.3,2550.87,3092.12,2282.16,2317.89,2550.01,1004.43,2437.24,2571.34,1566.54,1664.53,1170.81,1608.14,2250.82,1826.51,1687.3,1474.21,2016.97,2417.01,1097.45,1476.93,1859.17,2477.09,1548.5,2134.42,2658.79,1889.49,1979.87,1370.34,1514.45,1849.44,1355.3,1864.46
314,1881.62,2465.27,2922.08,2250.01,2445.5,2588.82,1029.75,2374.12,2497.57,1646.96,1749.03,1056.49,1633.38,2253.06,1857.88,1704.29,1446.15,2058.05,2652.73,1084,1504.72,1774.72,2449.19,1507.47,2224.19,2585.63,1940.03,1890.47,1416.13,1470.52,1898.55,1323.72,1868.89
414,1821.71,2538.24,3280.72,2202.1,2450.52,2604.51,1025.44,2365.22,2504.75,1662.83,1716.59,1148.33,1616.91,2178.9,1811.77,1725.27,1475.15,2032.51,2562.76,1096.18,1533.81,1850.34,2508.37,1552.21,2416.61,2606.55,1969.62,2062.64,1469.09,1371.62,1982.54,1317.88,1870.59
115,1888.15,2554.3,3303.16,2207.48,2427.1,2639.07,1102.76,2414.8,2673.66,1658.13,1705.04,1172.18,1701.46,2285,1876.02,1776.81,1552.98,2097.35,2598.48,1117.23,1547.11,2062.33,2639.92,1562.81,2489.65,2555.92,1952.33,2041.26,1544.92,1499.6,1982.78,1353.65,1929.91
215,1921.18,2559.68,3387.17,2322.57,2494.83,2605.37,1089.92,2557.73,2714.94,1746.12,1811.24,1134.47,1726.69,2274.47,1809.86,1776.92,1510.68,2111.62,2566.09,1148.75,1564.29,2054.71,2802.1,1589.95,2532.19,2709.91,1926.28,2052.91,1543.83,1531.17,2038.44,1454.87,1947.24
