periodo,Aguascalientes,Baja.California,Baja.California.Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad.de.México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado.de.México,Michoacán,Morelos,Nayarit,Nuevo.León,Oaxaca,Puebla,Querétaro,Quintana.Roo,San.Luis.Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional,inpc,base
105,1715.01,2830.75,2816.4,1815.45,2161,2215.7,859.86,2134.53,2608.67,1452.15,1534.58,1056.75,1374.51,1935.66,1660.71,1472.69,1511.11,1741.09,2753.52,1034.78,1291.25,1808.04,2683.94,1575.86,2085.84,2325.5,1581.09,2422.32,1273.96,1579.22,1648.21,1206.73,1782.56,58.53,0.8
205,1801.87,2902.04,2903.59,1855.48,2280.48,2306.92,868.87,2243.6,2617.79,1434.86,1506.74,1099.67,1401.33,1980.04,1764.36,1417.42,1512.95,1697.73,2837.69,1050.36,1261.33,1887.79,2650.08,1552.22,2100.58,2258.58,1588.35,2163.68,1326.8,1295.04,1659.54,1267.13,1784.39,58.86,0.81
305,1865,2958.26,2917.74,1867.29,2182.51,2371.46,896.18,2314.06,2616.14,1495.52,1471.48,1090.62,1339.15,1995.29,1809.45,1414.28,1556.48,1654.87,2894.13,1035.28,1317,1928.81,2863.96,1549.66,2136.66,2263.31,1658.56,2216.99,1321.15,1293.88,1655.89,1285.16,1806.65,59.13,0.81
405,1837.42,3032.93,3048.79,1933.64,2166.09,2241.91,870.55,2540.66,2839.97,1536.37,1562.13,1069.59,1352.68,2007.78,1780.53,1476.4,1671.37,1780.45,2863.09,1074.65,1346.85,1968.52,2893.69,1629.02,2305.31,2340.36,1703.97,2591.76,1338.66,1400.25,1637.69,1316.95,1866.77,59.86,0.82
106,1776.88,3052.6,2893.82,1946.45,2211.75,2357.87,899.32,2424.15,2779.43,1536.31,1515.51,1172.08,1317.55,2128.21,1876.64,1365.15,1516.06,1743.04,2885.72,1030.6,1322.29,1947.38,2882.75,1654.66,2285.48,2445.25,1767.65,2366.7,1380.88,1406.61,1669.04,1274.54,1868.02,60.69,0.83
206,1883.55,3159.52,3267.75,2036.81,2225.63,2457.21,900.4,2660.01,2796.94,1550.81,1581.79,1177.21,1406.57,2159.6,1841.47,1496.41,1570.92,1837.09,2925.66,1098.04,1313.26,1918.11,2948.12,1640.5,2309.25,2482.12,1762.07,2514.96,1336.87,1465.19,1666.56,1391.39,1910.19,60.7,0.83
306,1898.28,3088.14,3140.44,1962.44,2396.34,2518.15,899.53,2558.16,2929.98,1589.36,1579.89,1166.17,1476.39,2093.76,1900.63,1501.83,1665.7,1902.8,3077.89,1047.13,1362.28,2003.49,3293.23,1678.3,2239.41,2364.82,1901.47,2496.45,1354.1,1485.27,1801.19,1386.63,1940.14,61.22,0.84
406,1856.21,2945.13,3558.72,1857.64,2240.57,2412.59,908.33,2418.66,2827.4,1581.89,1614.96,1138.23,1423.15,2063.64,1804.75,1566.27,1645.46,1855.96,2940.29,1023.03,1353.57,2024.92,3039.14,1588.43,2235.28,2456.58,1892.41,2682.36,1291.37,1451.03,1698.02,1437.51,1900.77,62.34,0.85
107,1849.38,2914.79,3271.05,1871.19,2360.49,2333.37,960.68,2430.11,2973.09,1533.66,1629.33,1143.04,1433.88,2076.66,1775.29,1521.96,1542.42,1935.73,2984.23,1016.62,1348.23,1960.51,3069.53,1524.39,2311.86,2348.46,1820.17,2345.74,1363.33,1431.68,1769.24,1401,1896.77,63.18,0.87
207,1906.36,3048.31,3300.94,1933.27,2336.12,2411.34,994.52,2483.26,2884.83,1618.22,1711.24,1120.77,1461.09,2192.8,1871.12,1541.6,1720.39,1916.42,2956.88,1099.53,1406.69,1959.94,3047.24,1570.81,2351.52,2383.74,1844.67,2405.2,1356.02,1503.93,1841.47,1413.49,1941.44,63.11,0.86
307,1836.69,2899.59,3570,1932.01,2344.99,2431.95,956.17,2742.08,2880.86,1587.45,1609.93,1107.7,1387.44,2165.28,1787.33,1502.87,1638.39,1874.09,3000.29,1049.41,1379.09,1957.26,3016.34,1630.19,2337.91,2420.62,1817.92,2436.82,1342.25,1452.19,1677.9,1442.33,1915.56,63.66,0.87
407,1908.26,3001.23,3841.53,1997.45,2327.4,2468.87,989.79,2457.39,2860.76,1730.8,1588.42,1117.27,1465.87,2192.77,1739.7,1550.62,1662.08,1936.2,3028.63,1026.46,1350.46,1886.04,3044.66,1567.86,2317.81,2347.6,1862.72,2446.1,1367.18,1483.01,1777.87,1392.62,1911.17,64.72,0.89
108,1968.45,2972.15,3748.17,2065.22,2254.05,2540.07,970.65,2552.42,2824.44,1607.85,1554.87,1209.11,1331.81,2214.59,1756.66,1502.54,1609.06,2055.32,2909.46,1105.81,1344.77,1849.02,3206.06,1564.23,2280.35,2462.76,1921.33,2394.27,1337.16,1497.98,1758.61,1271.52,1907.16,65.64,0.9
208,1844.78,2941.77,3768.33,2060.34,2190.61,2526.95,986.11,2457.77,2690.63,1660.08,1512.36,1198.01,1405.95,2253.87,1822.58,1658.11,1535.63,1958.96,2865.19,1122.54,1328.27,1905.15,3184.63,1604.65,2270.89,2482.46,1899.62,2434.63,1363.14,1465.91,1751.82,1350.94,1907.01,66.21,0.91
308,1847.14,2841.93,3417.92,1982.83,2183.37,2568.4,974.19,2351.25,2682.36,1607.03,1479.9,1151.35,1418.57,2081.45,1769.67,1543.06,1516.85,1949.24,2869.37,1019.17,1340.22,1797.82,3101.14,1570.37,2293.4,2371.1,1906.41,2389.19,1368.93,1479.33,1730.82,1279.93,1863.27,67.15,0.92
408,1778.86,2540.99,3312.52,1876.82,2057.57,2429.94,949.16,2087.68,2643.51,1516.62,1402.45,1033.41,1302.43,2008.66,1654.22,1578.4,1450.42,1909.55,2675.08,985.87,1346.95,1784.89,2716.19,1524.04,2222.44,2151.25,1783.66,2259.29,1231.03,1444.46,1666.79,1248.98,1770.16,68.72,0.94
109,1651.39,2576.91,3233.03,1929.49,1967.97,2415.61,985.47,2155.69,2563.96,1495.82,1433.85,1104.8,1349.42,1937.52,1762.54,1587.52,1423.71,1971.5,2554.25,1028.98,1286.18,1737.87,2878.19,1497.54,2177.24,2226.14,1788.65,2312.83,1204.09,1468.3,1706.7,1194.99,1776.83,69.69,0.95
209,1671.23,2567.3,3072.51,1854.69,2008.06,2284.09,959.19,2141.72,2658.33,1473.87,1366.85,1071.18,1346.21,1941.5,1800.07,1550.51,1510.85,1959.14,2557.59,997.45,1236.82,1634.77,2720.63,1503.65,2182.36,2216.51,1750.86,2177.57,1239.89,1525.98,1667.57,1178.5,1773.94,70.16,0.96
309,1645.66,2332.62,2999.34,1869.44,1910.93,2376.79,1028.93,2066.32,2539.9,1452.06,1428.46,1045.38,1350.26,1874.98,1764.36,1545.42,1511.26,1884.1,2414.16,996.55,1261.66,1601,2539.65,1429.42,2105.71,2114.81,1679.02,2119.07,1168.01,1464.92,1735.27,1201.02,1727.9,70.6,0.97
409,1645.36,2342.2,2728.92,1920.06,1917.11,2243.33,957.26,1907.32,2352.74,1363.38,1411.35,1057.17,1343.52,1907.22,1702.72,1553.08,1439.07,1869.87,2511.75,981.67,1247.78,1662.35,2456.36,1367.35,2122.46,2021.3,1780.55,2034.78,1173.33,1456.39,1705.33,1224.92,1692.56,71.45,0.98
110,1677.39,2428.77,2808.88,1864.33,1888.93,2308.71,969.7,1930.71,2414.13,1383.83,1361.47,1087.56,1265.88,1829.41,1688.69,1526.29,1427.74,1821.33,2541.46,1003.25,1235.62,1653.2,2583.28,1384.37,2149.83,2250.69,1733.93,2022.48,1160.41,1503.52,1679.42,1178.93,1703.43,73,1
210,1652.49,2341.46,2936.35,1838.2,1889.99,2412.08,954.74,2001.41,2498.26,1428.03,1363.84,1072.79,1371.14,1917.71,1783.3,1505.93,1472.16,1868.16,2539.77,1020.13,1297.6,1692.61,2654.92,1429.15,2138.32,2082.78,1734.61,1935.33,1192.05,1474.15,1681.97,1247.92,1726.64,72.94,1
310,1669.29,2352.2,2786.79,1859.63,1911.36,2395.12,970.03,1923.45,2470.23,1425.46,1396,1000.12,1394.36,1849.17,1792.69,1576.3,1462.79,1814.28,2499.16,974.04,1335.79,1687.34,2492.26,1433.04,2097.03,1870.69,1643.21,1847.08,1246.56,1425.07,1739.77,1347.77,1708.03,73.19,1
410,1590.32,2333.19,2713.09,1781.95,1791.13,2222.46,921.34,1675.38,2266.47,1388.01,1424.45,969.78,1339.35,1848.07,1724.42,1535.23,1459.9,1784.77,2429.68,1022.55,1243.43,1592.31,2450.19,1314,2047.02,1982.95,1608.83,1788.45,1174.52,1418.25,1742.27,1287.09,1649.38,74.49,1.02
111,1613.35,2382.83,2744.13,1856,1914.38,2221.64,1003.55,1675.22,2309.69,1360.75,1372.47,1090.18,1315.43,1914.04,1807.68,1595.65,1395.27,1808.39,2359.49,1001.22,1287.86,1686.58,2513.27,1287.95,2080.14,1905.66,1657.61,1922.8,1178.32,1469.45,1722.77,1246.63,1686.95,75.53,1.03
211,1593.3,2360.16,2823.11,1924.51,1994.5,2294.94,1026.26,1713.25,2465.75,1437.63,1426.01,1041.36,1353.82,1866.49,1846.19,1616.8,1491.34,1732.35,2380.31,1011.57,1274.16,1767.77,2520.15,1350.7,2075.93,2021.54,1572.38,1728.41,1276.16,1390.82,1722.48,1214.54,1703.41,75.34,1.03
311,1590.92,2298.42,2757.81,1923.74,2071.1,2193.37,985.15,1671.26,2501.44,1522.76,1433.1,1001.74,1356.2,1849.64,1912.29,1586.94,1521.12,1706.92,2334.22,1013.21,1231.47,1638.37,2436.18,1322.57,1940.9,2019.15,1587.01,1759.93,1231.41,1417.02,1717.63,1254.41,1696.51,75.66,1.04
411,1515.21,2283.11,3126.47,1954.22,1981.61,2210.63,972.49,1836.64,2408.77,1482.37,1384.18,973.43,1400.69,1835.88,1753,1608.48,1402.19,1742.29,2364.25,1032.45,1278.55,1647.02,2476.42,1296.89,2000.08,2028.87,1626.21,1671.02,1257.34,1346.9,1675.21,1209.91,1667.39,77.09,1.06
112,1589.19,2292.88,2861.61,1961.51,1924.56,2306.38,984.75,1789.22,2405.75,1470.08,1402.49,992.56,1312.9,1887.88,1792.6,1566.35,1486.29,1741.27,2277.74,1045.17,1352.17,1713.32,2579.85,1284.71,2007.85,2041.42,1664.65,1738.97,1206.23,1471.54,1683.99,1248.96,1688.35,78.46,1.07
212,1645.9,2357.7,2938.25,2050.1,2000.75,2357.63,983.31,1930.08,2495.08,1404.35,1431.23,1021.97,1481.57,1981,1803.47,1651.5,1514.58,1750.9,2327.51,1087.93,1313.41,1723.57,2493.03,1290.12,2077.88,2018.01,1662.87,1821.68,1223.38,1507.97,1745.9,1266.19,1727.06,78.26,1.07
312,1622.3,2252.99,2994.29,1935.53,2091.42,2411.91,983.4,1987.18,2586.84,1387.35,1475.37,932.89,1433.26,1941.16,1743.04,1573.64,1416.57,1741.57,2409.29,1079.9,1347.43,1610.33,2427.93,1298.55,1902.48,2054.74,1727.14,1763.65,1322.1,1417.01,1789.88,1252.46,1710.57,79.13,1.08
412,1682.4,2302.05,3029.79,1988.79,1993.76,2306.9,944.7,1964.14,2441.48,1463.52,1458.16,908.87,1403.3,1923.46,1674.85,1505.31,1413.03,1741.91,2302.77,1030.8,1339.92,1531.43,2343.81,1377.85,2074.49,1960.95,1719.65,1742.87,1274.14,1508.09,1665.02,1233.76,1680.27,80.26,1.1
