periodo,Nacional,Urbano,Rural,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
105,0.8959,0.8464,0.9942,0.8001,0.6057,0.9285,0.9712,0.7006,0.9351,1.0159,0.697,0.7988,0.9672,0.7569,0.9507,0.8616,0.8886,0.8899,0.9496,0.9488,0.9367,0.6435,0.9318,0.924,0.9035,0.8221,0.9142,0.902,0.7688,1.1002,0.8237,0.7878,1.0107,1.0597,0.9802
205,0.938,0.8913,1.0349,0.8081,0.6066,0.9236,0.9877,0.7575,0.9205,1.0337,0.6915,0.8672,0.9746,0.7961,0.9949,0.9501,0.8703,0.969,0.9661,0.9882,1.082,0.6585,0.9943,0.9831,0.936,0.8475,0.9388,1.0779,0.7421,1.1054,0.9286,0.8274,1.0384,1.1058,0.9514
305,0.922,0.873,1.0218,0.8078,0.6398,0.8645,1.0177,0.7055,0.8915,1.0122,0.6823,0.8487,0.9548,0.8282,0.9824,0.869,0.9285,0.9075,1.0552,1.0058,1.0725,0.7043,0.9623,0.9612,0.9128,0.8655,0.9386,1.0961,0.7988,1.0267,0.8223,0.8356,1.0114,1.0889,0.9106
405,0.8672,0.8209,0.9597,0.726,0.5784,0.7379,0.9287,0.6693,0.9413,1.0244,0.6534,0.7391,0.8806,0.7601,0.9495,0.8734,0.8921,0.8633,0.9343,0.887,0.9751,0.6925,0.9124,0.9006,0.8176,0.8058,0.8984,0.9279,0.7423,0.992,0.7337,0.7763,0.9415,1.0373,0.811
106,0.8842,0.8307,0.9914,0.7784,0.6407,0.8472,0.9887,0.7064,0.9266,1.0108,0.5794,0.7616,0.9343,0.803,0.9455,0.9285,0.801,0.8655,1.0383,0.9225,0.9842,0.6585,0.9954,0.9585,0.8694,0.7559,0.8641,0.8415,0.703,0.962,0.7651,0.8187,0.9509,1.0529,0.9635
206,0.8391,0.7796,0.9559,0.7211,0.5801,0.6941,0.9322,0.6387,0.7502,1.0214,0.5211,0.7853,0.8521,0.728,0.92,0.8681,0.8459,0.7677,0.9082,0.8988,0.9051,0.6442,0.9261,0.9062,0.8079,0.7509,0.8396,0.9069,0.6035,0.9709,0.6896,0.7911,0.9486,0.9778,0.8404
306,0.8671,0.8223,0.958,0.7141,0.5999,0.7296,0.9301,0.65,0.8404,1.0037,0.6124,0.8232,0.9333,0.7562,0.933,0.9092,0.9146,0.8458,0.9098,0.8172,0.9747,0.6911,0.948,0.8864,0.8138,0.7421,0.8838,1.0036,0.7787,0.9201,0.691,0.8313,0.9549,0.9805,0.8456
406,0.8845,0.837,0.9793,0.7735,0.6926,0.6353,0.9354,0.6699,0.9078,1.028,0.5854,0.8298,0.8893,0.7746,0.9596,0.93,0.8305,0.8802,0.9367,0.8487,0.8921,0.6422,0.9881,0.9191,0.8712,0.8039,0.9227,0.9557,0.7127,0.9024,0.746,0.8307,1.0289,0.9805,0.8552
107,0.9054,0.859,0.9975,0.8408,0.6861,0.7892,0.9598,0.6935,0.997,1.0366,0.6241,0.8058,0.9201,0.8457,0.978,0.9242,0.8049,0.955,0.9652,0.912,0.9532,0.704,0.9994,0.9031,0.8842,0.7425,0.9508,0.9345,0.7065,0.9975,0.8325,0.8131,0.9984,1.0142,0.8846
207,0.8528,0.8034,0.9503,0.7726,0.5904,0.7546,0.9171,0.649,0.8769,0.9501,0.5873,0.7853,0.8829,0.795,0.9558,0.8631,0.7611,0.868,0.944,0.8358,0.9262,0.5975,0.9461,0.8805,0.8111,0.7361,0.9275,0.8826,0.6908,0.9629,0.7179,0.7995,0.9452,0.9638,0.8148
307,0.8743,0.8291,0.961,0.7518,0.6412,0.5938,0.9228,0.6608,0.9257,0.9878,0.5977,0.804,0.9082,0.791,0.9558,0.957,0.8169,0.9212,0.9409,0.8791,0.9783,0.6271,0.9269,0.8716,0.8593,0.7771,0.9199,0.9534,0.7055,0.9766,0.7359,0.8152,0.978,0.9679,0.8011
407,0.8534,0.8059,0.9445,0.7804,0.6603,0.5646,0.8992,0.6612,0.8062,0.9791,0.5664,0.8014,0.7767,0.7603,0.9454,0.8968,0.788,0.8645,0.927,0.9059,0.8471,0.6253,0.9451,0.8743,0.8049,0.7113,0.9122,0.8901,0.7039,0.8818,0.7454,0.8121,0.9601,0.9258,0.869
108,0.8544,0.8126,0.9361,0.7298,0.6183,0.6792,0.8429,0.6801,0.8007,0.9646,0.5721,0.7389,0.8808,0.8142,0.9212,0.9082,0.7375,0.9024,0.9217,0.9025,0.8605,0.7069,0.9275,0.9125,0.8455,0.6861,0.8895,0.8676,0.7362,0.8959,0.6568,0.8664,0.9261,0.9196,0.9383
208,0.8466,0.8059,0.9243,0.7703,0.5719,0.646,0.8655,0.6371,0.7879,0.9797,0.5964,0.7932,0.8541,0.8055,0.8935,0.8744,0.744,0.9112,0.8815,0.8838,0.8494,0.7009,0.9018,0.8865,0.807,0.6334,0.8904,0.8405,0.6379,0.8864,0.7063,0.8199,0.9285,0.8909,0.9011
308,0.9209,0.8949,0.9749,0.8375,0.7465,0.6876,0.9083,0.7617,0.7672,0.9853,0.6902,0.8931,0.8775,0.8944,0.937,0.9323,0.9124,0.9796,0.9691,1.0002,1.0103,0.7906,0.9839,0.9481,0.8792,0.7232,0.9298,1.0651,0.7856,0.9469,0.8011,0.9147,0.9557,0.9555,0.9238
408,0.9623,0.952,0.9837,0.8669,0.8875,0.8277,0.9663,0.7748,0.8454,1.0114,0.8115,0.9656,0.9461,0.9525,1.0041,0.9545,0.9428,0.9942,0.948,1.0766,0.9219,0.8574,0.9992,0.9989,0.9154,0.8532,1.0093,1.0004,0.8389,0.9908,0.8721,0.9316,1.001,0.9982,0.9379
109,0.96,0.951,0.9772,1.024,0.8947,0.8493,0.9308,0.8382,0.8478,0.9698,0.9263,1.0206,0.9511,0.9384,0.9532,0.9405,0.9452,0.9909,0.8831,1.1146,0.88,0.9505,0.9652,0.9656,1.0037,0.7521,1.0049,1.0131,0.8991,0.9575,0.8675,0.9705,0.9859,0.9942,0.9977
209,0.9976,0.9919,1.0102,0.9765,0.9102,0.824,1.0101,0.8873,0.9673,0.9889,0.9682,1.0482,0.9734,0.9776,0.9986,1.015,0.9498,1.0376,0.9746,1.0456,0.8975,1.0409,1.0327,1.0521,1.0868,0.9114,0.9876,1.0702,0.8376,0.9344,0.927,0.9661,0.9943,1.0139,1.009
309,1.0178,1.0154,1.0202,1.0436,1.1031,1.086,0.9991,0.9617,1.0376,1.0047,0.9475,1.0585,1.0393,0.9919,1.0223,0.969,0.9511,0.9996,1.0012,1.0627,1.0231,1.0907,1.007,1.0374,1.1162,0.9829,0.9859,1.1959,1.0331,1.0849,0.9857,1.0214,1.0284,0.9836,1.0037
409,1.0024,1.0062,0.9941,0.9879,1.0771,1.3498,0.9439,0.9097,1.0474,1.0023,0.9193,1.1282,1.0559,0.9767,1.0066,0.9897,1.0191,1.0327,0.8942,1.0912,1.0015,0.9891,1.0284,0.9909,1.0429,1.0591,1.0034,0.9704,0.8688,1.0022,0.9411,1.0332,0.9783,0.9821,0.9745
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
