periodo,TLP,TLPu,TLPr,TLP1,TLP2,TLP3,TLP4,TLP5,TLP6,TLP7,TLP8,TLP9,TLP10,TLP11,TLP12,TLP13,TLP14,TLP15,TLP16,TLP17,TLP18,TLP19,TLP20,TLP21,TLP22,TLP23,TLP24,TLP25,TLP26,TLP27,TLP28,TLP29,TLP30,TLP31,TLP32,ingpcx1,ingpcx2,ingpcx3,ingpcx4,ingpcx5,ingpcx6,ingpcx7,ingpcx8,ingpcx9,ingpcx10,ingpcx11,ingpcx12,ingpcx13,ingpcx14,ingpcx15,ingpcx16,ingpcx17,ingpcx18,ingpcx19,ingpcx20,ingpcx21,ingpcx22,ingpcx23,ingpcx24,ingpcx25,ingpcx26,ingpcx27,ingpcx28,ingpcx29,ingpcx30,ingpcx31,ingpcx32,ingpcx0,ingpcdef1,ingpcdef2,ingpcdef3,ingpcdef4,ingpcdef5,ingpcdef6,ingpcdef7,ingpcdef8,ingpcdef9,ingpcdef10,ingpcdef11,ingpcdef12,ingpcdef13,ingpcdef14,ingpcdef15,ingpcdef16,ingpcdef17,ingpcdef18,ingpcdef19,ingpcdef20,ingpcdef21,ingpcdef22,ingpcdef23,ingpcdef24,ingpcdef25,ingpcdef26,ingpcdef27,ingpcdef28,ingpcdef29,ingpcdef30,ingpcdef31,ingpcdef32,ingpcdef0,ingpc,ingpcdef
t105,34.783703657353,27.9913810966422,56.3419541268079,30.0800487797251,12.7651978485687,16.4619081395998,38.3653809295323,25.1807388671388,21.526756385198,65.8985993169347,23.8575188570564,20.6512893107808,40.3730395665131,33.2822105173077,55.4869815688828,42.0981781658901,27.7185064946015,29.5799683829325,38.8732636902705,37.0937648236968,30.8020513257465,14.3310089327559,55.8711644456054,46.5926191941993,31.3283389444548,20.6097499345318,43.7998915511545,21.6278425333042,22.7631591048372,40.8352841138149,28.0457626634264,41.5056253126586,46.1760762694895,41.9749881189164,50.3935393452834,1374.90035334032,2269.37161234439,2257.86076486575,1455.41571858919,1732.44105731686,1776.2905080592,689.337211665243,1711.22321675734,2091.32706138035,1164.164146623,1230.25082788138,847.181667566504,1101.9205838042,1551.79163809021,1331.36319400752,1180.63143342282,1211.4297702403,1395.80173819503,2207.45120363943,829.568280800747,1035.17692821581,1449.47720747735,2151.67694187804,1263.34488848729,1672.18686209293,1864.31916718294,1267.53641954307,1941.93674166035,1021.31755761472,1266.04007766428,1321.34471423794,967.41755657831,1429.05408288822,1832.00264668014,3022.84115638981,3008.20871271788,1938.88129450718,2307.46664454351,2366.07632505947,918.87521963295,2279.51363638865,2784.84920126908,1551.50335117022,1639.6100617612,1129.12386695361,1469.53042701028,2067.1522507723,1773.55205376672,1573.31261098944,1614.18981120618,1860.37032208267,2939.78989942753,1106.12138511041,1379.18885151062,1931.41827510073,2865.73064167277,1683.39904668411,2228.21449066159,2483.5072311897,1689.7596279382,2586.43426620788,1361.06734809451,1687.13343576837,1760.17172841947,1289.17323942327,1903.8683835185,1429.05408288822,1903.8683835185
t205,36.4207838391295,29.4790654089443,58.6470581880551,30.3780743251707,12.7844569317459,16.374665171619,39.0182120444527,27.2278241967906,21.1905245892447,67.0530967471056,23.6677987200865,22.4195580901055,40.6819351335964,35.0063141057552,58.066768436558,46.4217014394843,27.1486946162672,32.2103893517402,39.545797758862,38.6347429436488,35.5805247465457,14.6646602283024,59.6158228641045,49.57460684647,32.4540909434762,21.2463537232854,44.9769117748503,25.8441053394086,21.9743530330263,41.0266985886461,31.617313870766,43.5927178249293,47.4418142889784,43.7996157827962,48.9114634557998,1452.73458003784,2339.72801532109,2340.97981101663,1495.95536742527,1838.60086478203,1859.91811529187,700.517838464206,1808.8694238215,2110.55795763636,1156.83517668267,1214.78902014115,886.590378262748,1129.8026633673,1596.3774081827,1422.48605229479,1142.77314364421,1219.79130171504,1368.77271644239,2287.84622027634,846.833789562021,1016.92809825367,1522.00144543273,2136.58788062932,1251.45495059545,1693.56053395979,1820.94937656954,1280.58045241351,1744.43294560052,1069.71389915146,1044.1112950687,1337.97876332678,1021.60793332255,1438.64231158655,1939.91472749079,3122.14283844118,3125.98649832124,1996.68318191749,2453.14220899558,2481.97354863137,936.259355262802,2413.86175305762,2814.7500634179,1545.45068502654,1622.47750190757,1184.09956615253,1511.11619611329,2130.68422378653,1898.50374989864,1526.32452007476,1628.46226020595,1828.54138123202,3051.85972684448,1132.05650650917,1357.83331178678,2032.57774151514,2850.5277703957,1671.1224581653,2261.49251230348,2430.46679995195,1711.87159669426,2327.68483108019,1428.7835986224,1395.09178961454,1785.42433644222,1364.78853830607,1920.47100797815,1438.64231158655,1920.47100797815
t305,35.7982360121283,28.8734874697901,57.9062257537496,30.3696750649168,13.4839403731043,15.3271947758689,40.2025419696867,25.3571461076901,20.5231673827615,65.6562067069819,23.3536396516866,21.9396198582549,39.8542379721586,36.4192395795323,57.3385159845018,42.4607693085987,28.9640079654009,30.1657244842913,43.1963832589291,39.3249757003837,35.2665217580593,15.6856556412062,57.6946188826332,48.4701882055374,31.6518561751152,21.6977177203336,44.9693185213866,26.2809663617081,23.6532295547207,38.1082571771327,27.9984641401452,44.0274909714513,46.211353742565,43.1308097275098,46.8144905044175,1510.49954053793,2395.94812092394,2363.13246849349,1512.35486278487,1767.65481805443,1920.69360948118,725.834289609676,1874.20005755598,2118.85982674321,1211.25186588505,1191.77891744614,883.313255220713,1084.60000634372,1616.02050706319,1465.50532452865,1145.45221525867,1260.62573292114,1340.30624172412,2344.00618817684,838.494488414898,1066.66497203157,1562.1776683656,2319.57814757145,1255.1007632452,1730.51666217161,1833.09568184179,1343.30252788944,1795.58032474919,1070.02273939929,1047.93715604189,1341.13666208838,1040.87350351916,1463.24105301427,2029.25358426017,3216.0240045636,3173.79061695945,2030.33938810648,2372.03417328178,2577.79296059885,977.416592082166,2516.60859820483,2840.82434528031,1628.4968342601,1602.60969474167,1187.23716334668,1462.37003273737,2169.32446662825,1967.21098811178,1539.67413723584,1693.64603155524,1803.1915355666,3143.83242212444,1129.37515965183,1433.58522922094,2100.13198820255,3112.24460986348,1686.57335393148,2324.90462564235,2461.15263885327,1808.3602225968,2409.40792350838,1438.58417941235,1410.27740263762,1799.98071480515,1400.10265939025,1965.23404888931,1463.24105301427,1965.23404888931
t405,33.6707262596194,27.1502922849711,54.3878203190705,27.2921589944903,12.1902161495656,13.081492510103,36.687358224111,24.0583306021275,21.6695811417399,66.4473175851754,22.3660464630367,19.1084782312457,36.7571329336344,33.4258784593466,55.4163265683282,42.673448412472,27.8292205376687,28.6962863492369,38.2456888787767,34.6785201352986,32.0647321311472,15.4225753392024,54.702991396947,45.4139948834775,28.3484427974761,20.2009525393598,43.0434115788397,22.2479165142537,21.9794244858183,36.8206945455976,24.980841193246,40.9023307876216,43.0172480157718,41.0884039543516,41.6933067489446,1506.6564349281,2486.94916718122,2499.95958038346,1585.54897973567,1776.15855525044,1838.32929494947,713.834901764636,2083.29887526212,2328.72615085468,1259.7966617281,1280.92073822467,877.049841218995,1109.1765442347,1646.34597059586,1460.00461309771,1210.6252175706,1370.49946971893,1459.93842599442,2347.68935288207,881.193937536065,1104.39291444677,1614.15767105354,2372.77530372699,1335.76600888549,1890.3144821311,1919.05694976,1397.2248550831,2125.19985180176,1097.67835610275,1148.18198135833,1342.87774966049,1079.87600901721,1530.72043087756,2093.26866187718,3449.98149568391,3471.01312821503,2200.76600787102,2463.94661657524,2550.60413259831,993.456393011543,2889.81954641485,3227.09185514456,1751.34398114487,1781.04992989195,1218.92494947349,1545.99948125515,2284.59569214699,2026.40187663153,1682.49280641512,1903.4986965607,2030.98362172499,3254.65607550069,1227.33390637703,1534.1302804963,2243.29473877117,3290.64278445945,1855.70491603012,2626.32657426504,2664.08240253652,1945.30149432223,2947.50384708456,1526.21202112774,1597.37490287312,1863.16016072121,1502.41345047367,2125.30542536534,1530.72043087756,2125.30542536534
t106,34.3317931363875,27.4725454753674,56.1833722520534,29.2608332700918,13.5022139833574,15.0205830244019,39.0561009414977,25.3904369716682,21.3307637867392,65.5664561847914,19.8304963868643,19.6901479569794,38.9986076365778,35.3113620934395,55.1856003083064,45.3694180972111,24.987821426319,28.7709594464133,42.5030613870521,36.06699654548,32.3616897232467,14.6639217437963,59.6834578581801,48.3312136726085,30.1460066247442,18.9488481229049,41.3979065686402,20.1774257078091,20.8150068983859,35.7071648697962,26.0496748200466,43.1357534898991,43.44774074377,41.705037934376,49.5356644001687,1477.17285529982,2537.71616154539,2405.71825822204,1618.13933748006,1838.69748850959,1960.16487191585,747.628891799406,2015.27273654804,2310.62504395953,1277.18477950421,1259.88587233683,974.381551123032,1095.32152871908,1769.24238089471,1560.1114028001,1134.89004734153,1260.345482695,1449.04287069023,2398.9828765671,856.769733092186,1099.26134638236,1618.91672763737,2396.51654567822,1375.56632350294,1899.9873798152,2032.80779870842,1469.50004527137,1967.51005593875,1147.96517452963,1169.35662149867,1387.52300181131,1059.56605375685,1552.94193907232,1952.93310885255,3350.93479189136,3180.10099849996,2138.00433578902,2427.53339988777,2588.52615188571,990.343109953275,2661.04467244559,3047.96351571248,1689.77407645149,1667.28498255123,1289.03279030408,1452.84895957513,2336.78334471266,2060.72270621416,1501.20060676327,1666.38425213641,1918.4948362516,3165.68967531762,1135.09909775726,1453.55280100243,2141.04107013015,3163.86039909,1820.32720222734,2512.81524944184,2685.88808741303,1947.10003243333,2597.42516491176,1519.12357145252,1547.90727468343,1832.33940550603,1402.36179582909,2052.21519129071,1552.94193907232,2052.21519129071
t206,32.5783297537548,25.7834093006543,54.168179339672,27.1093583555355,12.2247184919368,12.3047715573375,36.8248689848609,22.9565211924906,17.2703539429891,66.2555734399797,17.8358787409408,20.3019589867882,35.5673976213538,32.0111050068474,53.6943290202406,42.4176848860419,26.3864401693248,25.5187316348335,37.1786619591336,35.140896201678,29.7606443971814,14.3456570515333,55.5284480926993,45.6955713530954,28.0133365532571,18.8244039612768,40.2277190472844,21.7440572119259,17.8697751859645,36.0365284206777,23.4812115596822,41.6834306394265,43.3389542952881,38.7296977022272,43.2073505192866,1566.04645960428,2626.93448101498,2716.92220671718,1693.47528550099,1850.46122770995,2043.00653007388,748.619848612645,2211.62718171974,2325.47139531755,1289.39789002334,1315.15045068003,978.768703081878,1169.47369480238,1795.56307462351,1531.06181120892,1244.1675496041,1306.1153424827,1527.41614490559,2432.49166583362,912.950140915633,1091.88827259361,1594.78518641209,2451.16728449528,1363.96812264085,1919.99102568343,2063.72346817482,1465.04825768673,2091.02004458049,1111.52284020449,1218.21294971738,1385.63396935729,1156.84744682699,1588.19434750836,2025.71663667838,3395.83659368262,3514.046740625,2189.7857172327,2391.95046691739,2641.17077557712,969.440751663586,2859.53126329206,3004.54681574401,1668.79884503071,1702.14787767197,1266.54762941946,1515.28053478309,2321.55161039623,1979.57196777993,1610.00590222497,1689.64839654781,1977.43143541243,3143.49486794008,1182.56619249526,1412.48639933589,2063.7588598415,3168.33752329485,1765.29143712796,2484.17139669489,2668.63235479589,1897.34309675665,2702.96235817908,1438.48020657318,1577.04458118876,1791.42626601141,1497.58677367864,2054.02858382519,1588.19434750836,2054.02858382519
t306,33.6682402885087,27.19480661329,54.2918318776021,26.8466807340793,12.6428944348162,12.9348459727301,36.7408481838067,23.3630188489681,19.346511259446,65.1058778697272,20.9618472728148,21.2826508413559,38.9594897589912,33.2519390180996,54.4576048082808,44.4231533646417,28.5295885487851,28.1144151472045,37.2413678299095,31.9489356605712,32.0515388278381,15.3916654725568,56.8384426459497,44.6985899876907,28.2162486496302,18.6036615458232,42.3441308082624,24.062107934232,23.0580256087591,34.1508446499863,23.5278715570396,43.7982050879411,43.6294609357886,38.8381894734795,43.4738719659062,1591.90497174314,2589.72895097666,2633.58653198271,1645.70878687714,2009.58090401893,2111.73342598524,754.349640505783,2145.28352555711,2457.09352670799,1332.84625626042,1324.90389615738,977.953602033321,1238.10809599351,1755.83482794074,1593.87157690506,1259.44234046879,1396.86008916246,1595.69742448922,2581.13339054789,878.123689618295,1142.41188883632,1680.13355338385,2761.71537074101,1407.4290685305,1877.97941457801,1983.14446508824,1594.58168050535,2093.53396642748,1135.54948129741,1245.55308379591,1510.4841338234,1162.83095784709,1627.00680148675,1968.6973002898,3204.1151787423,3257.22548073817,2035.79340303033,2486.42816705948,2612.6805174061,932.279884327604,2653.91838146928,3041.04037224533,1648.11098174152,1638.19517431467,1209.13440790698,1529.72599885771,2172.14820504241,1971.87476477058,1557.23546823226,1727.67863491432,1972.42158401971,3194.12192208437,1085.16653268063,1412.65696718622,2077.5079322345,3417.09429576434,1740.22437858253,2322.23407098566,2453.22160064862,1970.90061963207,2590.40673242525,1404.12875965374,1539.53644192159,1868.66300326468,1437.51276807501,2012.45132290682,1627.00680148675,2012.45132290682
t406,34.3418716977565,27.6821220209342,55.4977714874167,29.080173798646,14.5951647502377,11.262853470437,36.9491647142254,24.0776814658237,20.8970188109125,66.6803071110382,20.0375158535054,21.4520550151615,37.1230691288339,34.0596081062357,56.0065939495703,45.4393892687108,25.9064064408914,29.259166478285,38.3427218571456,33.1800781820246,29.333893783649,14.3016610233215,59.2429248727218,46.3445378616666,30.2066151722311,20.1522389184953,44.2092792707558,22.9146161972785,21.102461603198,33.4921691568774,25.4001061521379,43.7674632352941,47.0113854272299,38.8396535515058,43.9679027709882,1585.14464687641,2515.04794473615,3039.03841617492,1586.3652648844,1913.37772704221,2060.28021379651,775.690131905907,2065.46525509926,2414.50951559604,1350.88913530747,1379.12969081251,972.011612497396,1215.32722020562,1762.28544628878,1541.20145154452,1337.54928323428,1405.17207506772,1584.9342135295,2510.91643712509,873.632732977278,1155.9099563986,1729.22398119874,2595.33681830654,1356.47049950432,1908.86371564617,2097.84043163657,1616.05816001501,2290.65647237236,1102.79131709559,1239.13634262374,1450.05666629377,1227.5909402473,1623.20005314646,2077.71935952486,3294.23727838432,3982.72172970319,2078.61129212098,2505.92326799023,2698.76199357318,1017.71413790921,2706.09475037603,3160.89693658421,1771.35252414866,1808.2203181203,1274.62929686323,1595.22769268771,2308.81131080136,2019.11318999222,1753.44294460873,1841.68786872815,2078.75477581064,3287.86111176768,1146.55465825616,1515.23182516099,2267.07012984946,3399.3042475002,1778.16854909712,2502.68556711796,2748.52526701193,2120.49543835675,2999.91283667248,1446.11724120716,1625.33329106484,1899.56691237852,1610.27503760606,2127.05450591295,1623.20005314646,2127.05450591295
t107,35.1530759429407,28.411176107698,56.5276567878598,31.6088780482296,14.4583649615125,13.9911989983797,37.9155122442228,24.9284394056376,22.9505115187025,67.2362764981087,21.3627588120369,20.8328391871451,38.4077183585468,37.1896957803373,57.0805880287428,45.1556196390362,25.107946559794,31.7459897444537,39.5120941379016,35.6547665881242,31.3440738141436,15.6775072114852,59.9221303865911,45.5404751295676,30.659536181756,18.6146885454282,45.5526624148309,22.4074026604611,20.9190371991247,37.0228792837104,28.344680604591,42.8377895689478,45.6168414924972,40.1738339021616,45.4820105543565,1600.4853487361,2522.50713746694,2830.8153032479,1619.35760845823,2042.80700559329,2019.33245257657,831.384024624544,2103.05581966848,2572.95885790852,1327.24937035586,1410.04968345573,989.202964040989,1240.90260426817,1797.17067487671,1536.36407623089,1317.13034885339,1334.83232194399,1675.2113022747,2582.60306133335,879.802359438034,1166.78053172741,1696.6525868548,2656.41803061626,1319.23216553385,2000.71787053146,2032.39220677728,1575.20348615265,2030.03843032486,1179.84419307496,1238.99812511393,1531.12997497156,1212.44557497594,1641.49881303945,1966.94402565751,3098.93887538847,3478.62570284691,1989.77657216466,2509.56741461851,2480.93043414558,1022.33867623424,2583.95480078786,3160.17226974225,1631.42095718102,1733.29356059444,1216.2064192708,1526.33302775165,2208.17518102386,1887.67936251736,1618.98600012617,1640.52076187314,2059.71939759004,3172.37602732211,1082.05166968198,1434.09642902513,2085.45626719726,3263.60342528249,1621.48217040005,2459.1623339106,2497.31045150014,1936.97939996498,2493.90778557089,1450.27695520119,1523.49797826776,1881.23622733724,1490.69086154718,2017.17147956147,1641.49881303945,2017.17147956147
t207,33.1095836863594,26.5704680605945,53.8527150496703,29.0453034028364,12.4428450107251,13.3786689702071,36.2273749923992,23.3255324002424,20.1849687017868,61.6260322584734,20.1024088238138,20.3013583546153,36.8535022761971,34.959207366861,55.7838245219,42.1717603341231,23.7422320126891,28.8528876011755,38.6429788932366,32.6781324747086,30.4551802283107,13.3063265182348,56.7258192559461,44.3976328467986,28.125194733444,18.4541097124796,44.4370587978818,21.1615594654026,20.4536268771706,35.7405675700543,24.4444444444444,42.1223026847823,43.1844356995834,38.1774255501951,41.8933983370852,1648.00674202716,2635.19130452708,2853.58731735558,1671.26521930802,2019.51972033386,2084.54753862152,859.741837260575,2146.72007712064,2493.86615478182,1398.91354300981,1479.32412336706,968.882122465873,1263.08206684044,1895.62075040408,1617.54211514123,1332.67667410448,1487.23438947594,1656.69669560723,2556.14979897136,950.517696947005,1216.04801241426,1694.32081985591,2634.26981641806,1357.93144991119,2032.83599132538,2060.69131025803,1594.67397066196,2079.24142802821,1172.24943098862,1300.11548326917,1591.9114675115,1221.92979542988,1678.3269407565,2008.72079165397,3210.25573733483,3477.73786118468,2036.39721320308,2460.0566686321,2539.65431471197,1048.65819918849,2615.44368810868,3037.05656180374,1705.39598095676,1803.33733093759,1181.2961839819,1541.12175800823,2309.65948974578,1970.7815447072,1624.63753031496,1812.46349069425,2020.22744064185,3113.39267582336,1159.48654775193,1482.25169574096,2065.65355209045,3209.19863713961,1655.33556759044,2477.89800028092,2510.90914900086,1945.19704444121,2532.99338364598,1429.0933260027,1585.44090148301,1939.47983969997,1490.11311657224,2045.25639226305,1678.3269407565,2045.25639226305
